,day_sin,day_cos,month_sin,month_cos,dow_sin,dow_cos,is_weekend,hour_sin,hour_cos,load,temp
2025-11-01 03:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.49999999999999994,0.8660254037844387,37910.5,15.11
2025-11-01 04:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.7071067811865475,0.7071067811865476,36410.0,15.13
2025-11-01 05:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.8660254037844386,0.5000000000000001,36567.75,15.2
2025-11-01 06:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.9659258262890683,0.25881904510252074,37819.75,15.22
2025-11-01 07:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,1.0,6.123233995736766e-17,38845.5,15.62
2025-11-01 08:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.9659258262890683,-0.25881904510252063,40968.5,15.87
2025-11-01 09:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.8660254037844387,-0.49999999999999983,43038.5,16.27
2025-11-01 10:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.7071067811865476,-0.7071067811865475,44380.5,16.19
2025-11-01 11:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.49999999999999994,-0.8660254037844387,45900.5,16.13
2025-11-01 12:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.258819045102521,-0.9659258262890682,48227.0,16.31
2025-11-01 13:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,1.2246467991473532e-16,-1.0,46817.25,16.08
2025-11-01 14:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.2588190451025208,-0.9659258262890683,44795.0,16.28
2025-11-01 15:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.4999999999999998,-0.8660254037844388,43525.0,16.42
2025-11-01 16:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.7071067811865471,-0.7071067811865479,42642.0,16.46
2025-11-01 17:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.8660254037844384,-0.5000000000000004,43692.0,15.97
